ID,song_name,song_singer,song_url,song_comment_num,song_play_num,album_name,album_url,album_score,album_language,album_date,album_genre
0,Up All Night (Jamal's 2015 Version),Empire Cast,http://www.xiami.com/song/mQO5eI82202,21,70123,Empire: Music From ,https://www.xiami.com/album/23991330,无,英语,2015年01月20日,无
1,莫失莫忘,麦振鸿,http://www.xiami.com/song/mQ68N46e4e3,392,543648,仙剑奇侠传 电视原声带,https://www.xiami.com/album/32864,9.7,国语,2005年05月08日,原声 Soundtrack
2,Got Me Runnin' Round,Nickelback,http://www.xiami.com/song/8GspPaf3c1c,7,29158,No Fixed Address,https://www.xiami.com/album/1109172828,8.7,英语,2014年11月17日,硬摇滚 Hard Rock
3,青丝,时光胶囊,http://www.xiami.com/song/mQH4op8e667,407,413904,记忆给他的礼物,https://www.xiami.com/album/1084247166,9.4,国语,2013年11月13日,独立摇滚 Indie Rock
4,In Your Skin,Lifehouse,http://www.xiami.com/song/8Ga5wOfc522,12,40108,Smoke & Mirrors,https://www.xiami.com/album/357650,9.3,英语,2010年03月02日,流行摇滚 Pop Rock
5,Amsterdam,Imagine Dragons,http://www.xiami.com/song/8GjelJec625,56,139722,Night Visions,https://www.xiami.com/album/529508,9.3,英语,2012年09月04日,流行摇滚 Pop Rock
6,春告鳥  ,藤原道山,http://www.xiami.com/song/eYmm85e68b,624,974366,かざうた,https://www.xiami.com/album/311599,9.6,日语,2006年03月22日,无
7,1984,SAMURAI JACK UNIVERSE,http://www.xiami.com/song/xLsl2ge0f30,151,123854,BABEL(バベル),https://www.xiami.com/album/411881,9.4,日语,2010年11月10日,无
8,あいとわ,RADWIMPS,http://www.xiami.com/song/xL9JvRab042,108,83421,あいとわ,https://www.xiami.com/album/1326131640,9.4,日语,2015年03月11日,无
9,DARMA GRAND PRIX,RADWIMPS,http://www.xiami.com/song/mQH5SD884f9,122,262677,Ｘと○と罪と,https://www.xiami.com/album/1184405129,9.6,日语,2013年12月11日,无
10,かたわれ時,RADWIMPS,http://www.xiami.com/song/bClbVT64907e,152,241366,君の名は。,https://www.xiami.com/album/2100370997,9.7,日语,2016年08月24日,电影原声 Film Score
11,なんでもないや (movie edit),RADWIMPS,http://www.xiami.com/song/mQYfwV7b35f,272,407123,君の名は。,https://www.xiami.com/album/2100370997,9.7,日语,2016年08月24日,电影原声 Film Score
12,スパークル (movie ver.),RADWIMPS,http://www.xiami.com/song/mQYfwT85358,1373,1264827,君の名は。,https://www.xiami.com/album/2100370997,9.7,日语,2016年08月24日,电影原声 Film Score
13,御神体へ再び,RADWIMPS,http://www.xiami.com/song/xLJelw11376,41,123623,君の名は。,https://www.xiami.com/album/2100370997,9.7,日语,2016年08月24日,电影原声 Film Score
14,デート,RADWIMPS,http://www.xiami.com/song/xLJelpd219d,245,280915,君の名は。,https://www.xiami.com/album/2100370997,9.7,日语,2016年08月24日,电影原声 Film Score
15,御神体,RADWIMPS,http://www.xiami.com/song/xLJelo9e762,104,199801,君の名は。,https://www.xiami.com/album/2100370997,9.7,日语,2016年08月24日,电影原声 Film Score
16,前前前世 (movie ver.),RADWIMPS,http://www.xiami.com/song/8G4ktFecbf5,1974,2192456,君の名は。,https://www.xiami.com/album/2100370997,9.7,日语,2016年08月24日,电影原声 Film Score
17,奥寺先輩のテーマ,RADWIMPS,http://www.xiami.com/song/b1qqXeF3de97,69,218803,君の名は。,https://www.xiami.com/album/2100370997,9.7,日语,2016年08月24日,电影原声 Film Score
18,はじめての、東京,RADWIMPS,http://www.xiami.com/song/mQYfw968cbc,82,246400,君の名は。,https://www.xiami.com/album/2100370997,9.7,日语,2016年08月24日,电影原声 Film Score
19,夢灯籠,RADWIMPS,http://www.xiami.com/song/mQYfw6c0529,1186,1792590,君の名は。,https://www.xiami.com/album/2100370997,9.7,日语,2016年08月24日,电影原声 Film Score
20,小时候,五月天,http://www.xiami.com/song/fL1n5d13c,163,333430,时光机,https://www.xiami.com/album/15641,9.8,国语,2003年11月11日,国语流行 Mandarin Pop
21,なんでもないや (movie ver.),RADWIMPS,http://www.xiami.com/song/8G4dage6f67,1544,1748693,君の名は。,https://www.xiami.com/album/2100370997,9.7,日语,2016年08月24日,电影原声 Film Score
22,Hangover,Taio Cruz,http://www.xiami.com/song/xLuVK2a54c6,299,1013946,Hangover,https://www.xiami.com/album/469625,9.4,英语,2011年10月04日,无
23,Whistle,Flo Rida,http://www.xiami.com/song/mQCTGO930b4,436,2501561,Now That's What I Call Music! 82,https://www.xiami.com/album/534839,9.2,英语,2012年07月23日,无
24,僕と月の話,ラックライフ,http://www.xiami.com/song/xL8UjHd799b,10,3498,正しい僕の作り方。,https://www.xiami.com/album/1220640495,无,日语,2014年10月15日,无
25,拒む君の手を握る,高橋優,http://www.xiami.com/song/mQYJnQ6dc6c,3,779,来し方行く末,https://www.xiami.com/album/2100393336,10.0,日语,2016年11月16日,日本流行 J-Pop
26,光の破片,高橋優,http://www.xiami.com/song/8G4GRge47a7,1,1034,来し方行く末,https://www.xiami.com/album/2100393336,10.0,日语,2016年11月16日,日本流行 J-Pop
27,産まれた理由,高橋優,http://www.xiami.com/song/b1qrAVX3d33d,3,774,来し方行く末,https://www.xiami.com/album/2100393336,10.0,日语,2016年11月16日,日本流行 J-Pop
28,悲しみのない場所,高橋優,http://www.xiami.com/song/mQYJnS61191,1,918,来し方行く末,https://www.xiami.com/album/2100393336,10.0,日语,2016年11月16日,日本流行 J-Pop
